time;T_C;W_raw_kg
2026-08-10T20:55:36Z;26.5;22.03
2026-08-10T20:59:52Z;26.5;22.02
2026-08-10T21:04:09Z;26.5;22.03
2026-08-10T21:08:25Z;26.5;22.02
2026-08-10T21:12:42Z;26.0;22.02
2026-08-10T21:16:58Z;26.0;22.02
2026-08-10T21:21:15Z;26.0;22.02
2026-08-10T21:25:31Z;26.0;22.04
2026-08-10T21:29:47Z;26.0;22.04
2026-08-10T21:34:04Z;26.0;22.04
2026-08-10T21:38:20Z;26.0;22.03
2026-08-10T21:42:37Z;25.5;22.05
2026-08-10T21:46:53Z;25.5;22.04
2026-08-10T21:51:10Z;25.5;22.03
2026-08-10T21:55:26Z;25.5;22.04
2026-08-10T21:59:43Z;25.0;22.03
2026-08-10T22:03:59Z;25.0;22.04
2026-08-10T22:08:15Z;25.0;22.05
2026-08-10T22:12:32Z;25.0;22.06
2026-08-10T22:16:48Z;25.0;22.06
2026-08-10T22:21:05Z;24.5;22.05
2026-08-10T22:25:21Z;24.5;22.05
2026-08-10T22:29:38Z;24.5;22.04
2026-08-10T22:33:54Z;24.5;22.05
2026-08-10T22:38:10Z;24.0;22.05
2026-08-10T22:42:27Z;24.0;22.07
2026-08-10T22:46:43Z;24.0;22.05
2026-08-10T22:51:00Z;24.0;22.07
2026-08-10T22:55:16Z;24.0;22.05
2026-08-10T22:59:32Z;23.5;22.07
2026-08-10T23:03:49Z;23.5;22.05
2026-08-10T23:08:05Z;23.5;22.06
2026-08-10T23:12:22Z;23.5;22.06
2026-08-10T23:16:38Z;23.5;22.07
2026-08-10T23:20:55Z;23.5;22.06
2026-08-10T23:25:11Z;23.5;22.06
2026-08-10T23:29:28Z;23.5;22.08
2026-08-10T23:33:44Z;23.5;22.07
2026-08-10T23:38:00Z;23.5;22.09
2026-08-10T23:42:17Z;23.5;22.07
2026-08-10T23:46:33Z;23.5;22.08
2026-08-10T23:50:50Z;23.5;22.09
2026-08-10T23:55:06Z;23.5;22.09
2026-08-10T23:59:23Z;23.5;22.08
2026-08-11T00:03:39Z;23.5;22.09
2026-08-11T00:07:55Z;23.0;22.07
2026-08-11T00:12:12Z;23.0;22.09
2026-08-11T00:16:28Z;23.0;22.08
2026-08-11T00:20:45Z;23.0;22.09
2026-08-11T00:25:01Z;23.0;22.07
2026-08-11T00:29:18Z;23.0;22.07
2026-08-11T00:33:34Z;23.0;22.09
2026-08-11T00:37:51Z;23.0;22.07
2026-08-11T00:42:07Z;22.5;22.07
2026-08-11T00:46:24Z;22.5;22.07
2026-08-11T00:50:40Z;22.5;22.07
2026-08-11T00:54:56Z;22.5;22.09
2026-08-11T00:59:13Z;22.5;22.09
2026-08-11T01:03:29Z;22.5;22.08
2026-08-11T01:07:46Z;22.5;22.1
2026-08-11T01:12:02Z;22.0;22.08
2026-08-11T01:16:19Z;22.0;22.07
2026-08-11T01:20:35Z;22.0;22.1
2026-08-11T01:24:51Z;22.0;22.09
2026-08-11T01:29:08Z;22.0;22.09
2026-08-11T01:33:24Z;22.0;22.1
2026-08-11T01:37:41Z;22.0;22.09
2026-08-11T01:41:57Z;22.0;22.1
2026-08-11T01:46:14Z;22.0;22.09
2026-08-11T01:51:10Z;22.0;22.11
2026-08-11T01:54:47Z;22.0;22.08
2026-08-11T01:59:04Z;22.0;22.11
2026-08-11T02:03:20Z;21.5;22.09
2026-08-11T02:07:37Z;21.5;22.1
2026-08-11T02:11:54Z;21.5;22.11
2026-08-11T02:16:11Z;21.5;22.11
2026-08-11T02:20:27Z;21.5;22.09
2026-08-11T02:24:43Z;21.5;22.11
2026-08-11T02:29:00Z;21.5;22.11
2026-08-11T02:33:16Z;21.5;22.1
2026-08-11T02:37:33Z;21.5;22.11
2026-08-11T02:41:49Z;21.5;22.11
2026-08-11T02:46:06Z;21.0;22.09
2026-08-11T02:50:22Z;21.0;22.11
2026-08-11T02:54:38Z;21.0;22.1
2026-08-11T02:58:55Z;21.0;22.11
2026-08-11T03:03:11Z;21.0;22.11
