Timestamp(ms),Current(uA)
1354180,8635.913
1354190,8579.386
1354200,8497.564
1354210,8600.906
1354220,8606.049
1354230,8596.707
1354240,8580.448
1354250,8515.164
1354260,8500.505
1354270,8508.293
1354280,8521.293
1354290,8593.921
1354300,8552.523
1354310,8507.337
1354320,8533.951
1354330,8561.904
1354340,8633.681
1354350,8548.001
1354360,8430.691
1354370,8461.180
1354380,8510.221
1354390,8558.642
1354400,8573.740
1354410,8591.746
1354420,8500.266
1354430,8535.381
1354440,8504.329
1354450,8595.771
1354460,8611.936
1354470,8551.808
1354480,8592.565
1354490,8526.974
1354500,8512.956
1354510,8587.964
1354520,8578.500
1354530,8558.616
1354540,8510.315
1354550,8484.178
1354560,8609.453
1354570,8554.479
1354580,8590.183
1354590,8534.452
1354600,8617.625
1354610,8585.102
1354620,8560.536
1354630,8558.032
1354640,8572.309
1354650,8581.484
1354660,8643.004
1354670,8657.383
1354680,8556.675
1354690,8630.366
1354700,8601.260
1354710,8545.645
1354720,8494.325
1354730,8538.410
1354740,8474.313
1354750,8449.795
1354760,8485.184
1354770,8505.278
1354780,8518.436
1354790,8601.902
1354800,8558.267
1354810,8471.360
1354820,8541.516
1354830,8545.043
1354840,8611.361
1354850,8529.843
1354860,8564.039
1354870,8526.336
1354880,8543.548
1354890,8619.441
1354900,8640.795
1354910,8582.593
1354920,8571.685
1354930,8513.354
1354940,8607.374
1354950,8544.326
1354960,8495.645
1354970,8504.495
1354980,8580.798
1354990,8546.832
1355000,8560.398
1355010,8587.637
1355020,8569.388
1355030,8549.971
1355040,8546.728
1355050,8548.500
1355060,8476.313
1355070,8494.795
1355080,8566.234
1355090,8561.199
1355100,8482.791
1355110,8522.026
1355120,8552.407
1355130,8533.975
1355140,8532.231
1355150,8482.422
1355160,8570.614
1355170,8395.600
1355180,8418.390
1355190,8508.107
1355200,8487.689
1355210,8530.730
1355220,8617.427
1355230,8603.009
1355240,8575.682
1355250,8544.492
1355260,8620.575
1355270,8600.487
1355280,8487.348
1355290,8485.047
1355300,8503.056
1355310,8467.662
1355320,8522.545
1355330,8499.279
1355340,8510.095
1355350,8532.208
1355360,8452.475
1355370,8484.802
1355380,8498.891
1355390,8590.400
1355400,8579.678
1355410,8507.665
1355420,8530.970
1355430,8535.901
1355440,8539.643
1355450,8555.689
1355460,8501.342
1355470,8535.650
1355480,8496.174
1355490,8460.703
1355500,8540.742
1355510,8484.215
1355520,8551.089
1355530,8505.773
1355540,8496.580
1355550,8530.330
1355560,8539.827
1355570,8479.880
1355580,8527.391
1355590,8479.246
1355600,8458.276
1355610,8432.838
1355620,8518.411
1355630,8509.945
1355640,8587.786
1355650,8515.389
1355660,8476.451
1355670,8455.481
1355680,8561.763
1355690,8541.815
1355700,8502.923
1355710,8545.160
1355720,8590.984
1355730,8605.348
1355740,8545.451
1355750,8461.208
1355760,8527.422
1355770,8511.311
1355780,8585.048
1355790,8665.467
1355800,8596.577
1355810,8602.236
1355820,8530.561
1355830,8502.546
1355840,8552.198
1355850,8549.266
1355860,8526.885
1355870,8536.119
1355880,8521.526
1355890,8467.839
1355900,8492.849
1355910,8547.202
1355920,8570.502
1355930,8536.631
1355940,8560.530
1355950,8593.274
1355960,8641.233
1355970,8598.308
1355980,8575.612
1355990,8554.537
1356000,8505.581
1356010,8496.944
1356020,8492.091
1356030,8535.469
1356040,8470.313
1356050,8433.188
1356060,8471.642
1356070,8639.795
1356080,8554.954
1356090,8550.904
1356100,8543.444
1356110,8517.313
1356120,8571.655
1356130,8547.783
1356140,8587.087
1356150,8598.212
1356160,8601.499
1356170,8587.385
1356180,8486.573
1356190,8549.325
1356200,8603.443
1356210,8514.665
1356220,8544.951
1356230,8634.707
1356240,8602.372
1356250,8520.817
1356260,8537.344
1356270,8507.417
1356280,8510.003
1356290,8496.884
1356300,8526.402
1356310,8569.338
1356320,8550.142
1356330,8589.134
1356340,8585.721
1356350,8593.207
1356360,8583.156
1356370,8603.667
1356380,8491.010
1356390,8497.824
1356400,8506.353
1356410,8569.434
1356420,8620.597
1356430,8646.311
1356440,8564.622
1356450,8549.307
1356460,8588.261
1356470,8550.975
1356480,8523.860
1356490,8617.628
1356500,8609.468
1356510,8589.536
1356520,8492.714
1356530,8566.431
1356540,8557.336
1356550,8498.604
1356560,8478.360
1356570,8554.822
1356580,8565.626
1356590,8523.950
1356600,8575.853
1356610,8548.712
1356620,8588.732
1356630,8569.761
1356640,8548.604
1356650,8620.597
1356660,8572.661
1356670,8495.388
1356680,8475.513
1356690,8591.882
1356700,8534.899
1356710,8578.899
1356720,8465.139
1356730,8497.594
1356740,8513.128
1356750,8566.049
1356760,8528.771
1356770,8514.476
1356780,8505.754
1356790,8491.624
1356800,8639.376
1356810,8572.392
1356820,8533.373
1356830,8540.642
1356840,8549.176
1356850,8526.530
1356860,8507.127
